#Total_Obs_CSFR: total observed cosmic star formation rate (Msun/yr/Mpc^3)
#Total_Obs_CSFR_UV: total observed cosmic star formation rate (Msun/yr/Mpc^3) for galaxies with M_1500 < -17
#True_CSFR: total true cosmic star formation rate (Msun/yr/Mpc^3)
#Scale Total_Obs_CSFR Err+ Err- Total_Obs_CSFR_UV Err+ Err- True_CSFR Err+ Err-
0.797279 0.0207434 0.00107593 0.00109541 0.017873 0.00086119 0.00139147 0.0177813 0.00154579 0.00394188
0.804873 0.0201992 0.0010058 0.00109512 0.017334 0.000806606 0.00140356 0.0173615 0.00137748 0.00405557
0.812467 0.0196646 0.000966593 0.00113962 0.0168035 0.000730802 0.00143764 0.0169453 0.00120871 0.0040387
0.82006 0.0191406 0.000976393 0.00121095 0.0162838 0.000633282 0.00145758 0.0165349 0.00100968 0.00415326
0.827654 0.0186615 0.000927021 0.00124888 0.0158053 0.000607134 0.00154935 0.0161587 0.000818749 0.00418042
0.835248 0.0182011 0.000854592 0.00134124 0.0153489 0.000554429 0.00158812 0.0157966 0.000751095 0.00426919
0.842842 0.0177403 0.0008229 0.00136689 0.0148896 0.000478894 0.00167211 0.0154311 0.000620455 0.00429624
0.850435 0.0173283 0.000728243 0.00141022 0.014484 0.000446285 0.00171638 0.0151046 0.000548446 0.00430351
0.858029 0.0168828 0.000665055 0.0014525 0.0140442 0.000401107 0.00178845 0.0147455 0.000318593 0.00433062
0.865623 0.0164906 0.000629529 0.00148061 0.0136574 0.000400444 0.00183379 0.0144322 0.000283157 0.00424831
0.873217 0.0161003 0.000555815 0.00151349 0.0132694 0.000281658 0.00187581 0.0141165 0.000232094 0.00420465
0.88081 0.015717 0.000577019 0.00155451 0.0128887 0.000207496 0.00194171 0.013789 9.64904e-05 0.00421633
0.888404 0.0153743 0.000573648 0.00160218 0.0125531 0.000137774 0.00203307 0.0135021 0 0.00421015
0.895998 0.0150401 0.000539358 0.00167217 0.0122297 9.01678e-05 0.00209335 0.0132071 0 0.00416402
0.903592 0.0147012 0.000427153 0.00175217 0.0119008 2.02268e-05 0.00213232 0.0129229 -2.60652e-05 0.00414822
0.911185 0.0144078 0.000364356 0.00177515 0.0116176 4.95042e-05 0.00218316 0.0126732 -0.000110626 0.00411195
0.918779 0.0141269 0.000377666 0.0018434 0.0113479 -1.27571e-05 0.00226734 0.012437 -0.000210103 0.00406313
0.926373 0.013775 0.00037838 0.00184713 0.0110075 -8.51796e-05 0.00224784 0.0121389 -0.000195246 0.0040109
0.933967 0.0134877 0.000407396 0.00190319 0.0107337 -9.87279e-05 0.00232202 0.0119002 -0.000339872 0.00401122
0.94156 0.013174 0.000463884 0.00187532 0.010425 -8.71077e-05 0.00239493 0.011638 -0.000391262 0.00399279
0.949154 0.0128989 0.000495118 0.00193577 0.010157 -0.000137272 0.00240567 0.0114093 -0.00039399 0.00395195
0.956748 0.0126531 0.000485101 0.00197063 0.00991458 -0.000109925 0.00245308 0.0112065 -0.000397316 0.00388009
0.964342 0.0123883 0.000519459 0.0019711 0.00965653 -0.000109263 0.00249281 0.0109846 -0.000393222 0.00387414
0.971935 0.0121281 0.000488339 0.002005 0.00939501 -0.000125005 0.00251593 0.0107653 -0.000397202 0.00381573
0.979529 0.011876 0.00049795 0.00199558 0.00914936 -0.000152783 0.0025624 0.0105528 -0.000401052 0.00376293
0.987123 0.0116301 0.000460835 0.00199729 0.00890997 -0.000178006 0.00257543 0.0103457 -0.000405705 0.00372453
0.994717 0.0113745 0.000487908 0.0020665 0.0086552 -0.000199279 0.00262268 0.0101276 -0.000367801 0.00367795
1.00231 0.0111079 0.000507259 0.00204299 0.00739852 -0.000313606 0.00282589 0.00990054 -0.000366923 0.00369601
